,Statistic,No.,Name,Pos.,Yr.,Ht.,Wt.,Hometown / High School,Current School Name,Previous School,Image,Title
0,,0.0,Jerome Rice III,LB,Gr.,6-1,228.0,"Spartanburg, S.C. / Spartanburg HS",Charleston Southern,,,
1,,1.0,Cayden Jordan,WR,R-Jr.,6-2,209.0,"Tampa, Fla. / Gaither HS",Charleston Southern,,,
2,,1.0,Anton Williams,DL,Gr.,6-3,245.0,"Marianna, Fla. / Marianna HS",Charleston Southern,,,
3,,2.0,Isaiah Bess,QB,R-Fr.,6-4,220.0,"Shelby, N.C. / Shelby HS",Charleston Southern,,,
4,,2.0,Hombre Kennedy,S,Gr.,5-11,195.0,"Summerville, S.C. / Ashley Ridge HS",Charleston Southern,,,
5,,3.0,Deymon Fleming Jr.,QB,R-Fr.,6-2,212.0,"Stone Mountain, Ga. / Greater Atlanta Christian School",Charleston Southern,,,
6,,3.0,Quintin Seguin,DL,Gr.,6-3,274.0,"Windsor, Ontario / W.F. Herman SS",Charleston Southern,North Dakota,,
7,,4.0,TJ Brooks,RB,R-Fr.,5-8,178.0,"North Lauderdale, Fla. / Fort Lauderdale HS",Charleston Southern,,,
8,,4.0,Boogsie Silvera,S,So.,5-11,193.0,"Pembroke Pines, Fla. / American Heritage School Plantation HS",Charleston Southern,,,
9,,5.0,Cody Cline,S,R-So.,6-2,210.0,"Concord, N.C. / Cox Mill HS",Charleston Southern,,,
10,,5.0,Ross Malmgren,QB,R-So.,6-3,220.0,"Acworth, Ga. / North Paulding HS",Charleston Southern,,,
11,,6.0,Kamron Smith,CB,So.,6-0,188.0,"Bonaire, Ga. / Veterans HS",Charleston Southern,,,
12,,7.0,Nick Bartalo,LB,So.,6-1,225.0,"Tampa, Fla. / Gaither HS",Charleston Southern,,,
13,,7.0,Tony Bartalo,QB,R-So.,6-2,214.0,"Tampa, Fla. / Gaither HS",Charleston Southern,Iowa Western CC/Bethune-Cookman,,
14,,8.0,Geordan Livingston,CB,R-Jr.,5-10,170.0,"Beaufort, N.C. / East Carteret HS",Charleston Southern,,,
15,,9.0,Jake Lanford,LB,R-Fr.,6-1,215.0,"Macon, Ga. / Jones County HS",Charleston Southern,,,
16,,10.0,JD Moore,RB,R-So.,5-11,182.0,"Abbeville, S.C. / Abbeville HS",Charleston Southern,,,
17,,11.0,Vinson Davis,WR,R-Fr.,5-8,172.0,"Plantation, Fla. / American Heritage HS",Charleston Southern,,,
18,,11.0,Dominic Pagano,S,R-So.,6-0,186.0,"Parkland, Fla. / NSU University School",Charleston Southern,,,
19,,12.0,Landon Sauers,TE,R-Fr.,6-4,236.0,"Iva, S.C. / Crescent HS",Charleston Southern,,,
20,,13.0,Nick Foster,WR,R-Fr.,5-9,154.0,"Manchester, Ga. / Manchester HS",Charleston Southern,,,
